#Question|Class|WH|WH-Bigram|WH-POS|WH-NBOR-POS
In AD 324, which Roman emperor claimed Byzantium as a new Rome for the Eastern empire? |P||||
The first Violin Concerto in G minor by which composer, born in Cologne in 1838, has been voted Britain's favourite piece of classical music in each of the last three years when Classic FM has compiled a `Hall of Fame' from its listeners' votes? |P||||
Which seven word phrase originated in the United States as the title of a 1936 book on business psychology by Dale Carnegie? |W|Which|Which seven|WDT|CD
Cecil Day Lewis' character Nigel Strangeways, whom he created in the detective novels which he wrote under the pseudonym Nicholas Blake, is widely believed to be based on which poet friend of the author? |P||||
The Russian modern pentathlete Boris Onischenko was disqualified from the 1976 Olympics for cheating in which of the five disciplines? |X||||
Which Sheffield-born pop star was described in `Select' magazine as having `The wit of Alan Bennett in the body of Kenneth Williams'? |P|Which|Which Sheffield-born|WDT|NNP
In September 1995, France exploded a test nuclear weapon approximately 700 miles south-east of Tahiti at which atoll in the South Pacific? |L||||
The Kalahari Desert covers part of Namibia, Zimbabwe and South Africa, but lies primarily within which land-locked country? |L||||
What number results from adding the number of Noble Truths of Buddhism to the number of Pillars of Islam? |A|What|What number|WP|NN
Charles II, also known as Charles the Mad, reigned in Spain from 1665 until 1700 and was the last Spanish monarch of which dynasty? |X||||
Which architect of the 19th century Gothic Revival was born in 1812 and is probably best known for his work, with Charles Barry,x on the Houses of Parliament?|P|Which|Which architect|WDT|NN
"Which novelist, winner of the 1965 Nobel Prize for Literature, wrote ""The Silent Don"", published in two parts as ""And Quiet Flows the Don"" and ""The Don Flows Home to the Sea""? "|P|Which|Which novelist|WDT|NN
Which poet was born in 1572 and appointed Dean of St. Paul's Cathedral in 1621? |P|Which|Which poet|WDT|NN
What name is given to goods sold not primarily to make a profit but to attract customers so that they might buy other goods? |X|What|What name|WP|NN
Which creature is related to the sloth and the anteater, is found primarily in South America, and can be three, six and nine banded? |X|Which|Which creature|WDT|NN
In which city did Hitler and his supporters invade the Burgerbraukeller to stage the abortive Beer Hall Putsch of November 1923? |L||||
Which symphonic piece by Saint-Saens is based on a poem by Henri Cazalis, in which the fiddler Death summons skeletons from their graves at midnight? |W|Which|Which symphonic|WDT|VBD
The shoreline of the Caspian Sea lies on states of the former Soviet Union and which other country? |L||||
Which pope, a member of the Medici family, excommunicated Martin Luther and appointed Henry VIII Defender of the Faith in England? |P|Which|Which pope|WDT|NN
People with the hereditary disease sickle cell anaemia, particularly distributed among the black population of all continents, are resistant to which disease? |X||||
In electronics, what term is used for the range of frequencies within which the performance of a circuit or amplifier does not fall below a specified amount? |X||||
`I met a traveller from an antique land' is the opening line of which poem by Percy Bysshe Shelley? |W||||
Which Australian, nicknamed the Roehampton Rocket, achieved the unique feat of winning lawn tennis's grand slam twice, once as an amateur and once as a professional? |P|Which|Which Australian|WDT|NNP
Which film, released in 1995 and taking it's title from a phrase used by Claude Rains' character in the 1941 film Casablanca, starred Kevin Spacey and Gabriel Byrne? |W|Which|Which film|WDT|NN
Between 1948 and 1957 John Costello was twice Taoiseach, or Prime Minister of the Irish Republic, but who was the Taoiseach before and after Costello and between his two terms? |P||||
`And the Lord spake unto Moses in the wilderness of Sinai' are the opening words (in the Authorised Version) of which book of the Old Testament? |W||||
In the United Kingdom, land identified as having flora and fauna, or geological or physiological features, needing protection may be designated as a SSSI. What do these initials represent? |B||||
Which king was supposedly described by Henry IV of France as `the wisest fool in Christendom'? |P|Which|Which king|WDT|NN
Which illuminated book of the gospels, considered a masterpiece of the Hiberno-Saxon style, can be found in the library of Trinity College, Dublin? |W|Which|Which illuminated|WDT|VBD
Based on the author's early experiences, which novel by Jack London recounts the Alaskan adventures of Jack Thornton and his dog Buck? |W||||
Which writer was appointed Professor of American Studies at the University of East Anglia in 1970? |P|Which|Which writer|WDT|NN
Also known as the Norway lobster or the Dublin Bay prawn, by what name is Nephrops Norvegicus known when sold in food shops and restaurants? |X||||
First established by Fanny Waterman and Marion Harewood in 1963, an international piano competition has been held every three years in which English city? |L||||
What was the name of the USA's planned system of combating incoming nuclear missiles which was represented by the initials SDI? |B|What|What was|WP|VBD
What name is commonly given to the type of fly whose scientific name is Musca Vomitoria, sometimes known as the blow fly? |X|What|What name|WP|NN
Which British mathematician, who in 1854 published `Investigations of the Laws of Thought' is, with Augustus De Morgan, considered to be one of the founding fathers of mathematical logic? |P|Which|Which British|WDT|JJ
Which colonel in the late seventeenth century posed as a clergyman in order to enter the Tower of London to steal the crown jewels? |P|Which|Which colonel|WDT|NN
If you flew due south from Aberdeen, what would be the last English county that you would fly over before encountering the English Channel? |L||||
Whose law states that the rate of diffusion of a gas is inversely proportional to the square root of its density? |P||||
Which fictional character, who combined the roles of gentleman burglar and England cricketer, was created by E. W. Hornung and has been played on screen by Ronald Coleman and David Niven? |P|Which|Which fictional|WDT|JJ
Which thriller series became in 1946 the first daily radio serial broadcast by the BBC, and use `The Devils Gallop' by Charles Williams as its signature tune?|W|Which|Which thriller|WDT|VBZ
Which village in Galilee was the venue of the marriage at which Christ, agreeing to replenish the dwindling supply of festive drinks, turned water into wine? |L|Which|Which village|WDT|NN
Will Hutton, author of the book ``The State We're In'', was appointed Editor of which Sunday broadcast newspaper in March 1996? |X||||
In which game is a goal scored when the ball passes between the central posts, and a behind scored when it passes between the central posts and a behind post? |X||||
In Dostoevsky's novel ``Crime and Punishment'', what is the name of the impoverished student who kills an old pawnbroker for her money? |P||||
The inscription on the tomb of which king in Westminster Abbey includes the words `Malleus Scotorum hic est', meaning `Here is the Hammer of the Scots'? |P||||
Which overture by Brahms, first performed at Breslau in 1881, makes use of four German studen songs including `Gaudeamus Igitur'? |W|Which|Which overture|WDT|NN
Which ancient track follows the southern slope of the North Downs via Winchester and Canterbury to the Kent coast? |L|Which|Which ancient|WDT|JJ
What, according to Shakespeare's Macbeth, `knits up the ravelled sleeves of care'? |X|What|What ,|WP|,
Glyceryl trinitrate belongs to a group of vasodilator drugs used to relieve which condition, linked mainly to diseases of the coronary arteries? |X||||
The physical constant usually denoted by k and having the value 1.38 * 10^-23 Joules per Kelvin, is named after which Austrian born physicist? |P||||
The Learmont report into the escape of prisoners from which jail led to the dismissal of Derek Lewis as Director-General of the Prison Service in 1995? |X||||
Which Florentine building, the work of the architect Giorgio Vasari, was originally constructed to hold the offices of the government judiciary? |X|Which|Which Florentine|WDT|NNP
What three word name is given to the family of joints which has been used in furniture making for centuries and which is identified by its tongue and mouth components? |X|What|What three|WP|CD
Fought in Moravia on 2 December 1805, the Battle of the Three Emperors is otherwise known by which name? |X||||
Widely used in car trim, which metal when added to steel forms protective oxde film on the surface of the steel? |X||||
Which 1990 film, directed by Tim Burton and described as a modern fairy tale was advertised with the words ``His story will touch you, even though he can't''?|W|Which|Which 1990|WDT|CD
In the stories by James Herriot, what surname does he use for the brothers Siegfried and Tristan, the brothers whose vetinary practice he shares? |X||||
What name is given to the syrup which remains after sugar has been crystallized out of cane and from which rum is made? |X|What|What name|WP|NN
Which organization was born out of the the so-called Limehouse Declaration in 1981? |O|Which|Which organization|WDT|NN
The Book of Changes, an ancient book of divination and one of the five classics of Confucianism, is known by which Chinese name? |W||||
The ``Pilgrim's Chorus'' came from which Wagner opera about a minstrel knight of the thirteenth century? |W||||
In the third century BC, which Carthagian general led his forcres to victory over the Romans at locations including the Ticinus River, the Trebia Plain and the shores of Lake Trasimene? |P||||
In which event in the 1908 London Olympics was Dorando Pietri disqualified for being helped across the finishing line by officials? |X||||
Argon is normally mixed with 20% of which element in the filling of electric filament lamps? |X||||
Which author completed his `Sword Of Honour' in 1961 with the novel `Unconditional Surrender'? |P|Which|Which author|WDT|NN
Which land-locked country of North-West Africa beacme an overseas territory of the French Union and was known as French Sudan until it adopted its present name upon independence in 1960? |L|Which|Which land-locked|WDT|JJ
Also known as the missing mass, what term is used for the material of uncertain composition thought to comprise 90% or more of the mass of the universe, undetectable except for its gravitational effect? |X||||
What name is given to the message which the President of the United States delivers to Congress at the start of each year, roughly equivalent to the Queen's Speech in Britain? |X|What|What name|WP|NN
In Greek legend, which daughter of Cassiopeia was chained to a rock as a sacrifice to a sea monster but was rescued by Perseus? |P||||
Which character created by the comedian Steve Coogan is noted for his lager drinnking and hatred of students? |P|Which|Which character|WDT|NN
What name is given to the Minoan scripty used by the prehistoric inhabitants of Crete and mainland Greece between 1400 and 1200 BC, which was eventually deciphered by Michael Ventris in 1952? |X|What|What name|WP|NN
Who entered the University of Konigsberg in 1740 as a theology student, going on fifteen years later to become the Professor of Logic and Metaphysics at the same institution? |P|Who|Who entered|WP|VBD
Which word has entered the language for the practice of raising the price of, or accepting a higher price for, a house after a lower price has been agreed but before the contracts have actually been exchanged? |X|Which|Which word|WDT|NN
In which fourteenth century alliterative poem by William Langford do a series of allegorical visions appear to the narrator in his dreams? |W||||
What is the magnitude of the scalar product of two vectors, a and b, if a is perpendicular to b? |A|What|What is|WP|VBZ
A privilege granted by the Queen by Letters Patent in 1984, which is the only county entitled to call itself `The Royal County'? |L||||
Which French scientist demonstrated the germ theory of disease by eliminating bacteria from silkworms in the 1860s, and went on to work on anthrax and cholera? |P|Which|Which French|WDT|NNP
Which Northern Ireland politician has been the leader of the Social Democratic and Labour Party since 1979? |P|Which|Which Northern|WDT|NNP
According to the satirical magazine Punch, which single word constituted Mr. Punch's advice to those about to marry? |X||||
Of which metallic element is stibnite the ore? |X||||
What is the name of the dog on PBS who likes to dress up and act out famous works of literature?|X|What|What is|WP|VBZ
When Thetis dipped her son in the river Styx trying to make him immortal she grabbed him by this body part which became an idiom for a point of vulnerability?|X|When|When Thetis|WRB|NNP
Name the tie-wearing dog in the Dilbert comic strip.|X||||
What guitarist died in 1971, a year after his electric Star Spangled Banner rocked Woodstock?|P|What|What guitarist|WP|NN
"What did Ralph Kramden drive in the sitcom ""The Honeymooners""?"|X|What|What did|WP|VBD
According to the title of the NBC show, what is the occupation of Rachel Burke, the former prosecutor-turned FBI agent working for the Violent Crimes Task Force?|X||||
Who killed Holofernes by seducing him and beheading him?|P|Who|Who killed|WP|VBD
Who is Chip's Mom in Beauty and the Beast?|P|Who|Who is|WP|VBZ
This toy likes to 'walk' down stairs.|X||||
What is the toy that has multi-colored blocks, used to build things?|X|What|What is|WP|VBZ
A German offensive called the Battle of the Bulge occured during what war?|X||||
On Fox's 'That 70s Show,' where does the gang like to gather to read comics?|L||||
In golf, what is another name for an 'ace'?|X||||
What obsessive habit did the neighbor boy have in 'American Beauty'?|X|What|What obsessive|WP|JJ
What Akira Kurosawa film is based on MacBeth?|W|What|What Akira|WP|NNP
Which Zodiacal Sign is represented by a goat?|X|Which|Which Zodiacal|WDT|NNP
A period of unusually warm weather in fall is given this name.|X||||
How many sides does an Octagon have?|A|How|How many|WRB|JJ
If a girl's nickname is Betsy, what is her full first name most likely to be?|X||||
In what year was CNN launched?|T||||
What city was the home to the long-lived band Aerosmith?|L|What|What city|WP|NN
What color was the incredible Hulk?|X|What|What color|WP|NN
What young composer's employers must have known his genius when the retained him as organist in Arnstadt even though he stayed away for 3 months while on a 1 month leave?|P|What|What young|WP|JJ
What is the capital of Ethiopia?|L|What|What is|WP|VBZ
How many weeks a year does the average American adult spend cleaning up in the kitchen after meals?|A|How|How many|WRB|JJ
How many Sudanese slaves were freed in 1998 because a 4th grade Denver class raised $35,000 to buy their freedom?|A|How|How many|WRB|JJ
Who was the first U.S. president to have a phone on his desk?|P|Who|Who was|WP|VBD
What percentage of his wealth has Microsoft's Bill Gates promised to donate this year for children's vaccines in poor countries.|C|What|What percentage|WP|NN
How many American men are married?|A|How|How many|WRB|JJ
Which major-league pitcher once struck out five batters in one inning.|P|Which|Which major-league|WDT|NN
Who discovered chewing gum?|P|Who|Who discovered|WP|VBD
What is the most popular participator sport in America?|X|What|What is|WP|VBZ
What was St. Patrick's real name? |P|What|What was|WP|VBD
What band got their name from the sixties movie Barbarella?|X|What|What band|WP|NN
What is the name of the original comic strip Bill The Cat appeared in?|W|What|What is|WP|VBZ
What was the name of the character on the 1st Garbage Pail Kids Pack?|P|What|What was|WP|VBD
What was Max Headroom's network number?|A|What|What was|WP|VBD
Which Sci-Fi Sitcom star like to eat cats?|P|Which|Which Sci-Fi|WDT|NNP
Name the late eighties band that named the sides of their first album Hardware and Software and also used samples from Star Trek movies in their songs.|X||||
"Who sang ""I Want My MTV"" on the Dire Straits song ""Money For Nothing""?"|P|Who|Who sang|WP|VBD
"What 80's game show featured the ""Whammy""?"|W|What|What 80|WP|CD
Alanis Morrisette appeared on what 80's cable children's show?|W||||
What was the name of the host of Double Dare?|P|What|What was|WP|VBD
Xavier Roberts was the name associated with which eighties toy?|X||||
What made Michael Milken famous and rich?|X|What|What made|WP|VBD
What was Maggie Seaver's maiden name on Growing Pains?|X|What|What was|WP|VBD
What did the license plate on the Delorean in Back To The Future spell out?|X|What|What did|WP|VBD
What company made PacMan?|O|What|What company|WP|NN
What company made the first color arcade game?|O|What|What company|WP|NN
What was the first video Mtv played?|X|What|What was|WP|VBD
What was the first game show on Mtv?|X|What|What was|WP|VBD
What company used the little aligators as it's symbol on clothing?|O|What|What company|WP|NN
What was the war during Regan's first term that took place on an island in the carribean?|X|What|What was|WP|VBD
Who shot J.R. Euing?|P|Who|Who shot|WP|VBD
What was the first movie Disney released through a subsidary company that carried an R rating?|W|What|What was|WP|VBD
What were the colors of a Rubik's Cube?|X|What|What were|WP|VBD
"What show did the catch phrase, ""Yeah, That's The Ticket"" originate on?"|W|What|What show|WP|NN
What former communist European country was responsible for producing one of the lamest automobiles of the eighties?|L|What|What former|WP|JJ
What was E.T.'s favorite candy?|X|What|What was|WP|VBD
Who was the founder of Live Aid?|P|Who|Who was|WP|VBD
What famous soap opera duo reigned on General Hospital in the eighties?|P|What|What famous|WP|JJ
What eighties TV show starred Bruce Willis in a detective agency?|W|What|What eighties|WP|VBZ
Which quicky brunette was one of the first MTv VJs?|P|Which|Which quicky|WDT|VBD
What was the name of David Hasselhoff's talking car in Knight Ridder?|X|What|What was|WP|VBD
What eighties TV show starred Tom Hanks in women's clothing?|W|What|What eighties|WP|VBZ
What was the name of Eddie Murphy's character in Beverly Hills Cop?|P|What|What was|WP|VBD
What duo lost their Grammy for Best New Artist from the eighties?|X|What|What duo|WP|NN
What late night news show became popular in the eighties after the Iranian Hostage takeover?|W|What|What late|WP|JJ
Who was the female Prime Minister of England throughout the eighties?|P|Who|Who was|WP|VBD
What TV show with married couples and family life appealed to those over the age of 29?|W|What|What TV|WP|NN
What rock magazine that came out in the eighties is now Rolling Stone's major competitor?|X|What|What rock|WP|NN
Which movie prompted the style of wearing cutoff sweatshirts over the shoulder?|W|Which|Which movie|WDT|NN
In which Fox TV show did Johnny Dep play an undercover cop in high school?|W||||
Which TV show portrayed the lives of performing arts high school students|W|Which|Which TV|WDT|NN
"What time would you watch ""Late Night With David Letterman"" on NBC?"|T|What|What time|WP|NN
"What father/daughter duo made ""Gag Me With A Spoon"" a household phrase in the eighties?"|X|What|What father/daughter|WP|NN
Which royal wedding of the eighties is now scandelously coming apart?|X|Which|Which royal|WDT|VBP
Which pain relieving product was subjected to a public relations scare in the eighties?|X|Which|Which pain|WDT|VBP
Who was responsible for the infamous assination attempt on then President Reagan?|P|Who|Who was|WP|VBD
Name at least three arcade games which contributed to the explosion of mall rats?|X||||
What major city calls itself 'The Windy City'? |L|What|What major|WP|JJ
What are the names of Angelica's parents in the Rugrats? |P|What|What are|WP|VBP
In the bible, who's name was changed to Israel? |P||||
What is the last name of the beardless Z.Z.Top band member? |P|What|What is|WP|VBZ
What was the first name of Sherlock Holmes' Dr. Watson? |P|What|What was|WP|VBD
Who conquered the castle of Elvas in Portugal? |P|Who|Who conquered|WP|VBD
What was the first newspaper owned by William Randolph Hearst, Senior? |X|What|What was|WP|VBD
Where is the home location of the 'Blue Angels'? |L|Where|Where is|WRB|VBZ
In what story did Sherlock Holmes make his debut? |W||||
Charlemagne ruled a large part of western and central Europe in the years?|R||||
How long is the national anthem of Greece?|R|How|How long|WRB|JJ
What relationship was Jesus to John the Baptist? |X|What|What relationship|WP|NN
Who was the actress in the 1944 film that said 'You know how to whistle, don't you? You just put your lips together - and blow.'?|P|Who|Who was|WP|VBD
What is the oldest college in the U.S.?|O|What|What is|WP|VBZ
Who was the captain of the Pottsville Maroons football team in 1925?|P|Who|Who was|WP|VBD
What President promised a chicken in every pot?|P|What|What President|WP|NNP
What was the name of the dynasty of the french kings that ended under the French Revolution? |X|What|What was|WP|VBD
Which prominent African-American singer was nominated for a Best Actress Oscar in 1972?|P|Which|Which prominent|WDT|VBD
Who is considered the father of Modern Geology? |P|Who|Who is|WP|VBZ
How many time zones are there in the world? |A|How|How many|WRB|JJ
What is a 300th anniversary called? |X|What|What is|WP|VBZ
What was the Tin Man's name in the Wizard of Oz?|X|What|What was|WP|VBD
What is the play West Side Story based on? |X|What|What is|WP|VBZ
What country is Cornelius Drebbel from?|L|What|What country|WP|NN
What is the name of the most southerly village in mainland Britain?|L|What|What is|WP|VBZ
What is the longest bone in the body? |X|What|What is|WP|VBZ
Which city had the first movie theatre in the US? |L|Which|Which city|WDT|NN
Who directed 8 Man?|P|Who|Who directed|WP|VBD
Who was the director of Godzilla, King of Monsters?|P|Who|Who was|WP|VBD
What is the name of the cape at the southernmost tip of Africa? |L|What|What is|WP|VBZ
How many cows does it take to supply the NFL in footballs for one year?|A|How|How many|WRB|JJ
What was the name of the first steam-powered warship? |X|What|What was|WP|VBD
How many men who signed the Declaration of Independence in 1776 later became US presidents?|A|How|How many|WRB|JJ
How many bones are there in the inner ear?|A|How|How many|WRB|JJ
What was the code name of the D-Day invasion? |X|What|What was|WP|VBD
In Greek mythology, who were the god Zeus' parents?|P||||
In what year did National Geographic magazine start? |T||||
On what river is the city of Cincinnati located? |L||||
Which actress hired a private investigator to find David Strickland before it was too late? |P|Which|Which actress|WDT|NN
Who was the first Australian Secretary General to the General Assembly of the United Nations? |P|Who|Who was|WP|VBD
Who is the lead singer for Stone Temple Pilots? |P|Who|Who is|WP|VBZ
What American president had a marijuana patch in his backyard?|P|What|What American|WP|NNP
What type of animal is 'Shardik', in Richard Adams' novel of the same name?|X|What|What type|WP|NN
Who was the bowler whom Sobers hit for 6 sixes in an over?|P|Who|Who was|WP|VBD
What is the largest county in the United states? |L|What|What is|WP|VBZ
Stephen King has written 5 books under what pseudonym?|P||||
What year did Rolf Harris have an Australian Top 10 hit with 'Two little boys, with Two little toys..'?|T|What|What year|WP|NN
What letter does not appear anywhere on the periodic table of elements? |X|What|What letter|WP|NN
What is the capital city of the Cote d'Ivoire?|L|What|What is|WP|VBZ
What does the postage stamp cancellation O.H.M.S. mean? |B|What|What does|WP|VBZ
Of all the planets - which is the largest?|X||||
What is the dry ingredient in a roux?|X|What|What is|WP|VBZ
What U.S. city's state capitol is located 5280 ft. above sea level? |L|What|What U.S.|WP|NNP
What was the crime committed for those dwelling in Dante's lowest level of hell in his work, 'The Inferno'? |X|What|What was|WP|VBD
What was the last animal to be tamed as a food source? |X|What|What was|WP|VBD
Where is Arthur C. Clarke presently residing?|L|Where|Where is|WRB|VBZ
When was the constitution fully ratified? |T|When|When was|WRB|VBD
In what famous sci fi flick did an Einsteinlike scientist say to a space alien 'sit down. I have several thousand questions I'd like to ask you'? |W||||
What animal has the largest penis size in proportion to its body size? |X|What|What animal|WP|NN
How many 'joeys' can a female kangaroo have in her pouch at one time?|A|How|How many|WRB|JJ
In which Dr. Seuss book did the word 'nerd' first appear?|W||||
In what US state was the Phillips head screwdriver invented? |L||||
On what day was Mother Teresa awarded the nobel peace prize? |T||||
How many sheets of paper are in a ream?|A|How|How many|WRB|JJ
Who set the train speed record of 552 kph on April 14 1999?|P|Who|Who set|WP|VBD
In Disney comics, who are Daisy Duck's three nieces?|P||||
The word 'poltergeist' comes from what language?|X||||
In the movie 'Shaft', what was Shaft's first name? |P||||
What is the airport code for Hartford CT? |X|What|What is|WP|VBZ
In the movie Tommy Boy, who played Richard?|P||||
Who leads the National Hockey League in all-time playoff penalty minutes? |P|Who|Who leads|WP|VBZ
What sense does a dying person lose first? |X|What|What sense|WP|NN
Who was Johnny Carson's first guest on 'The Tonight Show' on October 1st, 1962? |P|Who|Who was|WP|VBD
Jane Asher's (Paul McCartney's 60's girlfriend) brother was in what early 60's group? |X||||
Who was the only person to appear on both 'Kids in the Hall' and 'Saturday Night Live?'|P|Who|Who was|WP|VBD
Who directed all James Bond films up to the recent 'The World is not enough'? |P|Who|Who directed|WP|VBD
What is the name of the theme song from M*A*S*H?|W|What|What is|WP|VBZ
Ford had a problem in Brazil when the Pinto wouldn't sell. Ford later found out Pinto was Brazilian slang for what? |X||||
What was Columbos' dogs name?|P|What|What was|WP|VBD
Who discovered King Tut's tomb? |P|Who|Who discovered|WP|VBD
In what year was King Tut's tomb discovered? |T||||
What was used to signal advance into battle in World War I for the East Surrey Regiment? |X|What|What was|WP|VBD
What year was the NBA formed? |T|What|What year|WP|NN
In what year was the Louisiana Purchase?|T||||
At the battle of Antietam, who commanded the XII Corps for the Union side? |P||||
Who was the most famous gorgon? |P|Who|Who was|WP|VBD
What was the name of the comic book character who couldn't talk, but replied to all by making sounds? |P|What|What was|WP|VBD
Kinsey Millhone is a recurring character in what author's series of novels?|P||||
What was the original color of the white house? |X|What|What was|WP|VBD
Who starred in the movie 'Highpoint'?|P|Who|Who starred|WP|VBD
What language spoken by the ancient Babylonians?|X|What|What language|WP|NN
Which U.S. president entertained his friends by writing Latin with one hand and Greek with the other.|P|Which|Which U.S.|WDT|NNP
Which Peanuts character plays the piano?|P|Which|Which Peanuts|WDT|NNP
Who is credited with coining the phrase, 'M'Kay?'|P|Who|Who is|WP|VBZ
In which US city were the first electric traffic lights installed?|L||||
Which is the most densely populated state?|L|Which|Which is|WDT|VBZ
What did Roland Garros create in 1915? |X|What|What did|WP|VBD
Who invented the fighter plane?|P|Who|Who invented|WP|VBD
What was Cyndi Lauper's dog named?|X|What|What was|WP|VBD
What is the largest Rotary Club in terms of members outside of North America?|X|What|What is|WP|VBZ
What is the state capital of Wisconsin? |L|What|What is|WP|VBZ
According to the bible, what is the root of all evil? |X||||
Name Cheech's cousin in the movie 'Cheech & Chong's Up in Smoke'.|P||||
Who invented the potato chip? |P|Who|Who invented|WP|VBD
What element on the Periodic Table has the symbol W?|X|What|What element|WP|NN
What is the only US state with a diamond mine? |L|What|What is|WP|VBZ
Where is the Indian chief Geronimo buried? |L|Where|Where is|WRB|VBZ
"What does the ""G"" in the movie ratings stand for?"|X|What|What does|WP|VBZ
When does Summer officially begin?|T|When|When does|WRB|VBZ
What was Woodstock, that lovable friend of Snoopy's, favorite winter sport?|X|What|What was|WP|VBD
"What dice game invented by a wealthy Canadian Couple in 1956 was originally called the ""Yacht Game""?"|X|What|What dice|WP|NN
"Maurice Sendak, author of the popular children's book ""In the Night Kitchen"" also wrote an award-winning book on monsters.  What is the title of this book?"|W||||
What sport was invented by a YMCA Instructor in Springfield, Massachusetts in 1891?|X|What|What sport|WP|NN
What percentage of gun-owning households with children do not always keep their guns locked in a secure place?|C|What|What percentage|WP|NN
How many weeks of unpaid, job-protected leave does the Family Medical Leave Act allow?|A|How|How many|WRB|JJ
Who was the youngest athlete to win a gold medal at the Winter Olympics?|P|Who|Who was|WP|VBD
"Which famous composer wrote ""Twinkle, Twinkle Little Star"" at age six?"|P|Which|Which famous|WDT|JJ
How much does the average teenager get in weekly allowance?|M|How|How much|WRB|JJ
What is the name of the pollen-producing structure of a flower?|X|What|What is|WP|VBZ
"In ""The Adventure of Superman"" the natural parents of Clark Kent sent him to Earth in a rocket which landed in which American town?"|L||||
What 17th Century Irish Archbishop added up the ages of all the people in the Bible and concluded that Creation had occurred in 4004 B.C.?|P|What|What 17th|WP|JJ
What is the largest system of island groups in the world.|L|What|What is|WP|VBZ
What does a camel's hump contain?|X|What|What does|WP|VBZ
Who is the only major league pitcher to retire immediately after a 27-win season?|P|Who|Who is|WP|VBZ
Which race was Greg LaMond the first American to win?|X|Which|Which race|WDT|NN
Which Law & Order seasoned actor also was smart enough to win $34,000 for his favorite charity on 'Celebrity Jeopardy!'?|P|Which|Which Law|WDT|NNP
What is the name of the long, whiplike extensions on sperm cells which enable them to swim?|X|What|What is|WP|VBZ
What legendary attorney represented Leopold and Loeb, among other pariahs?|P|What|What legendary|WP|JJ
On Spin City, for what position did Mike hire Caitlan Moore, played by Heather Locklear?|X||||
For what team did Bob Feller pitch an opening day no-hitter?|O||||
What British physicist and chemist is best known for his discoveries in the fields of electricity and magnetism.|P|What|What British|WP|JJ
What woman is once again the Pakistani Prime Minister?|P|What|What woman|WP|NN
"Who is the author of ""A Farewell to Arms""."|P|Who|Who is|WP|VBZ
Annie Lennox was originally the lead singer of what group, with husband Dave Stewart?|X||||
"Tom Selleck portrayed which character in the detective series ""The Rockford Files""?"|P||||
"Who was the first character in ""The Wizard of Oz"" to wear the Ruby Slippers?"|P|Who|Who was|WP|VBD
"What absurdist playwright wrote the original lyrics for ""Mack the Knife""?"|P|What|What absurdist|WP|NN
Which organ in the Endocrine system controls the functions of all of the others?|X|Which|Which organ|WDT|VBZ
What form of Buddhism is prevalent in Sri Lanka, Thailand, Cambodia, Laos and Myanmar?|X|What|What form|WP|NN
Throwing for 318 yards, who was the MVP of Super Bowl XIII?|P||||
How many judges are on the US Supreme Court?|A|How|How many|WRB|JJ
What percentage of medical school graduates were women, 1998-99?|C|What|What percentage|WP|NN
What percentage of U.S. adults suffer from hypertension (high blood pressure).|C|What|What percentage|WP|NN
